title,url,time
CLASS A CDL DRIVERS STEADY BASE PAY PLUS BONUSES AND BENEFITS,https://dallas.craigslist.org/dal/trp/d/dallas-class-cdl-drivers-steady-base/7503828805.html,Jul  2
Class A Team Drivers Needed,https://dallas.craigslist.org/mdf/trp/d/arlington-class-team-drivers-needed/7503828771.html,Jul  2
Experienced Apartment Make-Ready Technician,https://dallas.craigslist.org/dal/lab/d/dallas-experienced-apartment-make-ready/7503801976.html,Jul  1
CDL Class A❗️Truck Drivers Needed | Mon-Fri | Home Weekly | Regional,https://dallas.craigslist.org/ftw/trp/d/dallas-cdl-class-atruck-drivers-needed/7503795674.html,Jul  1
CDL/Non CDL Hotshot Driver,https://dallas.craigslist.org/dal/trp/d/forney-cdl-non-cdl-hotshot-driver/7503774432.html,Jul  1
CDL DRIVER,https://dallas.craigslist.org/dal/trp/d/dallas-cdl-driver/7503772942.html,Jul  1
MANUAL LATHE MACHINIST,https://dallas.craigslist.org/ftw/trd/d/fort-worth-manual-lathe-machinist/7503765914.html,Jul  1
aire acondicionado,https://dallas.craigslist.org/dal/lab/d/dallas-aire-acondicionado/7503765877.html,Jul  1
☀☀OWNER OPERATOR -OLDER TRUCK BUT IN GOOD SHAPE-COME ON!!☀,https://dallas.craigslist.org/dal/trp/d/sunnyvale-owner-operator-older-truck/7503762716.html,Jul  1
Lawn Care Foreman / crew members,https://dallas.craigslist.org/ndf/lab/d/aubrey-lawn-care-foreman-crew-members/7503757486.html,Jul  1
Automotive Electrical Technician [2nd/3rd shifts],https://dallas.craigslist.org/mdf/trd/d/arlington-automotive-electrical/7503749863.html,Jul  1
WAREHOUSE - Terrell Texas $16.55 - 3rd shift with 4 day weekend off!,https://dallas.craigslist.org/dal/lab/d/terrell-warehouse-terrell-texas-rd/7503728039.html,Jul  1
✭✭Lyft Driver -- Signing Up Is Easy✭✭,https://dallas.craigslist.org/dal/trp/d/dallas-lyft-driver-signing-up-is-easy/7503720481.html,Jul  1
Vinyl Installation,https://dallas.craigslist.org/ftw/lab/d/fort-worth-vinyl-installation/7503725273.html,Jul  1
